year,month,hour,city,state,make,model,model_year,vin,mileage_category,weather,roadway_type,roadway_surface,lighting,sv_pre_crash_movement,cp_pre_crash_movement,collision_category,highest_injury_severity_alleged
2025,6,19,Miami,FL,Tesla,Model 3,2024,5YJ3E1EA5RF,High Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,6,20,Newburyport,MA,Tesla,Model 3,2022,5YJ3E1EB3NF,High Medium,"Cloudy, Rain",Intersection,Wet,Daylight,Proceeding Straight,Proceeding Straight,Head-On Collision,Serious
2025,5,14,Albany,NY,Tesla,Model Y,2026,7SAYGDEE8TA,Low,Clear,Intersection,Dry,Daylight,"Other, see Narrative",NM Crossing Roadway,Other / Unknown,Serious
2025,6,3,Fullerton,CA,Tesla,Model 3,2022,5YJ3E1EA9NF,Low,Clear,Intersection,Dry,Dawn / Dusk,Proceeding Straight,Proceeding Straight,Head-On Collision,Unknown
2025,6,13,Glen Allen,VA,Tesla,Model Y,2025,7SAYGDED1SF,Low,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Proceeding Straight,CP Rear-Ended By SV,Unknown
2025,5,7,Chicago,IL,Tesla,Model Y,2025,7SAYGDEEXSF,Low,Clear,Highway / Freeway,Dry,Dark - Lighted,Unknown,Unknown,Other / Unknown,Unknown
2025,5,17,Austin,TX,Tesla,Model Y,2026,7SAYGDEE0TA,Low,Cloudy,Highway / Freeway,Dry,Daylight,Making Right Turn,Unknown,Other / Unknown,Unknown
2025,5,21,Melrose Park,IL,Tesla,Model Y,2023,7SAYGDEE0PA,Low,Clear,Highway / Freeway,Dry,Daylight,Unknown,Unknown,Other / Unknown,Unknown
2025,4,6,Trinidad,CA,Toyota,Prius,2023,JTDADABU0P3,Low,Rain,Highway / Freeway,Wet,Dark - Not Lighted,Proceeding Straight,Unknown,Other / Unknown,Unknown
2025,5,23,Sausalito,CA,Tesla,Model Y,2021,5YJYGDEE0MF,Low Medium,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Merging,CP Rear-Ended By SV,Unknown
2025,5,21,Austin,TX,Tesla,Model 3,2019,5YJ3E1EB9KF,Low Medium,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Lane / Road Departure,Head-On Collision,Unknown
2025,5,20,Miami Beach,FL,Tesla,Model Y,2025,7SAYGDEE7SF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,0,Holbrook,NY,Tesla,Model X,2017,5YJXCDE2XHF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,4,8,Dallas,TX,Tesla,Model 3,2021,5YJ3E1EB1MF,Low,Cloudy,Intersection,Dry,Dark - Lighted,Proceeding Straight,Proceeding Straight,Head-On Collision,Unknown
2025,4,19,Los Angeles,CA,Tesla,Model 3,2024,5YJ3E1EA5RF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Minor
2025,5,22,Bend,OR,Tesla,Model 3,2022,5YJ3E1EA6NF,Low Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Serious
2025,5,16,Millcreek,UT,Subaru,Forester,2022,JF2SKAPC6NH,Low,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Unknown,Other / Unknown,Minor
2025,5,15,Half Moon Bay,CA,Mercedes-Benz,EQE 350 4MATIC,2024,W1KEG1CB7RF,Low,Unknown,Highway / Freeway,Unknown,Daylight,Crossing into Opposing Lane,Unknown,Other / Unknown,Minor
2025,5,18,Oakland,MS,GMC,Yukon,2023,1GKS2KKLXPR,High Medium,Other,Highway / Freeway,Dry,Daylight,Unknown,Unknown,Other / Unknown,Unknown
2025,5,14,Harris,MN,Tesla,Model Y,2025,7SAYGDEE6SF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,22,Fort Wayne,IN,Tesla,Model Y,2022,7SAYGAEE7NF,High Medium,Cloudy,Highway / Freeway,Dry,Daylight,Unknown,Unknown,Other / Unknown,Unknown
2025,5,23,West Sacramento,CA,Tesla,Model X,2019,5YJXCAE22KF,High Medium,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Stopped,CP Rear-Ended By SV,Unknown
2025,5,4,Huntsville,TX,Tesla,Model 3,2022,5YJ3E1EB5NF,High Medium,"Cloudy, Rain",Highway / Freeway,Wet,Dark - Not Lighted,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,5,1,Pomona,CA,Tesla,Model Y,2021,5YJYGDEF2MF,High Medium,Clear,Highway / Freeway,Dry,Daylight,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,5,18,Munds Park,AZ,Tesla,Model 3,2022,5YJ3E1EB7NF,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,11,Irvine,CA,Tesla,Model 3,2021,5YJ3E1EB4MF,High,Clear,Highway / Freeway,Dry,Dark - Lighted,Lane / Road Departure,Unknown,Other / Unknown,Unknown
2025,5,1,Tucson,AZ,Tesla,Model 3,2025,5YJ3E1EA6SF,Low,Clear,Intersection,Dry,Daylight,Proceeding Straight,Making Left Turn,Head-On Collision,Unknown
2025,5,19,Westampton Township,NJ,Tesla,Model Y,2023,7SAYGDEEXPA,Low Medium,Rain,Highway / Freeway,Wet,Daylight,Unknown,Unknown,Other / Unknown,Unknown
2025,5,11,Rocky Mount,NC,GMC,YUKON DENALI,2025,1GKS2DRL3SR,Low,Clear,Highway / Freeway,Dry,Daylight,Proceeding Straight,Unknown,Top / Rollover / Unusual Impact,No Injuries Reported
2025,5,12,Millsboro,DE,Chevrolet,Traverse,2024,1GNEVLKS4RJ,Low,Cloudy,Street,Dry,Daylight,Proceeding Straight,Making Left Turn,Other / Unknown,No Injuries Reported
2025,5,1,Elk Grove,CA,Tesla,\Model Y,2022,7SAYGAEE3NF,High Medium,Clear,Street,Dry,Daylight,Proceeding Straight,Proceeding Straight,SV Rear-Ended By CP,Unknown
2025,5,18,Springfield,NJ,Tesla,Model Y,2025,7SAYGDED9SF,Low,Clear,Highway / Freeway,Dry,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,2,Egg Harbor Township,NJ,Tesla,Model S,2019,5YJSA1E2XKF,Low Medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,17,Henderson,NV,Tesla,Model Y,2024,7SAYGDEE3RA,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other / Unknown,Unknown
2025,5,15,Joppatowne,MD,Tesla,Model Y,2024,7SAYGDEE3RA,Low,Cloudy,Intersection,Dry,Daylight,Proceeding Straight,Proceeding Straight,Head-On Collision,Unknown
